YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201201,59807,357082,4,1.09,NNE,PETERSBURG,38.5137,-87.2701,38.30822,-87.16206
201201,59808,357074,1,3.06,ENE,GRAYS RIVER,46.3662,-123.5404,46.21972,-12.332424
201201,59808,357074,2,2.64,NE,GRAYS RIVER,46.3765,-123.5601,46.2259,-12.333606
201201,59808,357074,3,1.37,NW,GRAYS RIVER,46.3633,-123.6213,46.21798,-12.337278
201201,59808,357074,4,2.43,WNW,EDEN,46.3109,-123.6985,46.18654,-12.34191
201201,59808,357074,5,1.11,WSW,EDEN,46.2943,-123.6717,46.17658,-12.340302
201201,59809,357075,1,0.57,W,CHICKAMAUGA,35.07,-85.26,35.42,-85.156
201201,59809,357076,1,1.33,ESE,GLOVER HILL,35.06,-85.63,35.36,-85.378
201201,59811,357148,1,3.13,WNW,ROBERTS,44.9104,-123.1622,44.54624,-12.39732
201201,59811,357148,2,4.36,WNW,KEIZER,45.0114,-123.1073,45.684,-12.36438
201201,59811,357148,3,2.63,ESE,CHEMAWA,44.9901,-122.948,44.59406,-12.25688
201201,59811,357148,4,1.55,NW,AUMSVILLE,44.8471,-122.8903,44.50826,-12.253418
201201,59811,357148,5,3.41,SW,TURNER,44.8111,-122.9727,44.48666,-12.258362
201201,59811,357149,1,0.96,NNE,FRY,44.5934,-123.0249,44.35604,-12.31494
201201,59811,357149,2,0.79,S,PIRTLE,44.5885,-123.1495,44.3531,-12.3897
201201,59811,357149,3,4.69,WSW,DEVER,44.6823,-123.1595,44.40938,-12.3957
201201,59811,357149,4,1.54,ENE,MILLERSBURG,44.6867,-123.0201,44.41202,-12.31206
201201,59811,357150,1,0.65,WSW,SCIO,44.6965,-122.8423,44.4179,-12.250538
201201,59811,357150,2,1.54,WSW,SCIO,44.6954,-122.8607,44.41724,-12.251642
201201,59811,357150,3,0.71,SE,WEST SCIO,44.7118,-122.8612,44.42708,-12.251672
201201,59811,357150,4,1.1,NNW,SCIO,44.7142,-122.8404,44.42852,-12.250424
201201,59812,357083,1,0.0,N,DUNMOR,37.07,-87.0,37.42,-87.0
201201,59812,357083,2,0.0,N,GREENVILLE,37.2,-87.18,37.12,-87.108
201201,59824,357228,1,0.0,N,MT STERLING,38.05,-83.95,38.3,-83.57
201201,59824,357229,1,2.0,SSE,FRENCHBURG,37.9233,-83.616,37.55398,-83.3696
201201,59824,357230,1,0.0,N,GRASSY CREEK,37.87,-83.35,37.522,-83.21
201201,59824,357232,1,0.0,N,STANTON,37.85,-83.87,37.51,-83.522
201201,59824,357233,1,5.0,NNW,MC KEE,37.4969,-84.0349,37.29814,-84.2094
201201,59824,357234,1,3.0,SW,BEATTYVILLE,37.5493,-83.7587,37.32958,-83.45522
201201,59824,357236,1,0.0,N,JACKSON,37.55,-83.38,37.33,-83.228
201201,59824,357237,1,0.0,N,JACKSON,37.55,-83.38,37.33,-83.228
201201,59824,357240,1,3.0,NE,CAMP LEWIS,37.6107,-83.1413,37.36642,-83.8478
201201,59824,357241,1,0.0,N,DOTSON,37.65,-82.87,37.39,-82.522
201201,59824,357242,1,2.0,SW,MARTIN,37.5495,-82.7758,37.3297,-82.46548
201201,59824,357243,1,1.0,E,EMMA,37.63,-82.7017,37.378,-82.42102
201201,59824,367563,1,0.69,N,RAVENNA,37.69,-83.95,37.414,-83.57
201201,59824,367564,1,0.88,SE,BARNES MOUNTAIN,37.62,-83.91,37.372,-83.546
201201,59824,367566,1,0.88,NW,RICE STATION,37.71,-84.06,37.426,-84.36
201201,59865,357431,1,2.95,SSE,HAWAIIAN BEACHES,19.5137,-154.8962,19.30822,-15.453772
201201,59865,357431,2,2.34,W,KALAPANA,19.3463,-155.0157,19.20778,-15.5942
201201,59865,357432,1,1.44,S,HAWAIIAN BEACHES,19.5293,-154.9182,19.31758,-15.455092
201201,59865,357432,2,3.34,SSE,VOLCANO,19.3739,-155.2148,19.22434,-15.512888
201201,59865,357433,1,3.22,ENE,VOLCANO,19.4309,-155.1819,19.25854,-15.510914
201201,59865,357433,2,2.7,WNW,NAALEHU,19.0782,-155.6104,19.4692,-15.536624
201201,59865,357434,1,0.63,SSE,PRINCEVILLE,22.2116,-159.4762,22.12696,-15.928572
201201,59865,357434,2,0.71,SSE,PRINCEVILLE,22.2103,-159.4765,22.12618,-15.92859
201201,59865,357434,3,0.71,SSE,PRINCEVILLE,22.2107,-159.4754,22.12642,-15.928524
201201,59865,357434,4,0.66,SSE,PRINCEVILLE,22.2114,-159.4755,22.12684,-15.92853
201201,59865,357435,1,1.58,N,KAPAA,22.1028,-159.3205,22.6168,-15.91923
201201,59865,357435,2,1.44,NNE,KAPAA,22.099,-159.3107,22.594,-15.918642
201201,59865,357435,3,1.32,NNE,KAPAA,22.0974,-159.3115,22.5844,-15.91869
201201,59865,357435,4,1.52,N,KAPAA,22.102,-159.3221,22.612,-15.919326
201201,59871,357489,1,2.07,S,NEW SIGHT,31.62,-90.45,31.372,-90.27
201201,59871,357491,1,0.91,SE,ROCKPORT,31.79,-90.16,31.474,-90.96
201201,59871,357492,1,3.59,E,STRONGHOPE,31.74,-90.22,31.444,-90.132
201201,59871,357492,2,2.0,SW,ROCKPORT,31.7769,-90.1905,31.46614,-90.1143
201201,59871,357493,1,1.42,W,MAYBANK,31.4223,-89.404,31.25338,-89.2424
201201,59871,357493,2,3.8,NNW,MACEDONIA,31.4264,-89.2145,31.25584,-89.1287
201201,59871,357493,3,1.25,N,MC CALLUM,31.2481,-89.2193,31.14886,-89.13158
201201,59871,357493,4,4.67,W,BONHOMIE,31.2716,-89.3985,31.16296,-89.2391
201201,59871,357494,1,0.85,NNE,(LUL)HESLER FLD LAUR,31.6821,-89.1671,31.40926,-89.10026
201201,59871,357494,2,2.02,SE,LAUREL,31.6809,-89.1039,31.40854,-89.6234
201201,59871,357494,3,1.76,WSW,ERRATA,31.758,-89.0964,31.4548,-89.5784
201201,59871,357494,4,1.08,WNW,HOY,31.758,-89.1657,31.4548,-89.9942
201202,59873,357719,1,0.0,N,OZARK,31.44,-85.64,31.264,-85.384
201202,59873,357721,1,0.72,SSW,GENEVA MUNICIPAL ARPT,31.041,-85.866,31.246,-85.5196
201202,59873,357722,1,0.0,N,OZARK,31.44,-85.64,31.264,-85.384
201202,59873,357723,1,0.0,N,DOTHAN,31.22,-85.39,31.132,-85.234
201202,59874,357743,1,2.25,SE,SCHLEY,31.21,-83.79,31.126,-83.474
201202,59874,357744,1,0.0,N,WAGON WHEEL,31.23,-83.46,31.138,-83.276
201202,59874,357745,1,2.16,NNW,MASSEE,31.22,-83.36,31.132,-83.216
201202,59874,357746,1,1.5,NNW,COTTLE,31.22,-83.32,31.132,-83.192
201202,59874,357747,1,0.07,N,WEST BAINBRIDGE,30.911,-84.58,30.5466,-84.348
201202,59874,357748,1,2.6,SE,DRAKES STILL,30.784,-84.8684,30.4704,-84.52104
201202,59874,357749,1,0.93,W,I-75 AT EXIT 5,30.6824,-83.2355,30.40944,-83.1413
201202,59874,357751,1,0.0,N,TIFTON,31.45,-83.5,31.27,-83.3
201202,59874,357752,1,3.55,N,LOCKETT CROSSING,31.6012,-84.245,31.36072,-84.147
201202,59874,357753,1,1.56,NW,ELPINO,31.0074,-84.2468,31.444,-84.14808
201202,59874,357754,1,2.25,NNW,BERLIN,31.1017,-83.6189,31.6102,-83.37134
201202,59874,357756,1,4.21,NW,ALBANY,31.6136,-84.2198,31.36816,-84.13188
201202,59874,357756,2,0.95,N,TURNER CITY,31.6037,-84.0983,31.36222,-84.5898
201202,59874,357756,3,1.89,SE,EAST ALBANY,31.5493,-84.099,31.32958,-84.594
201202,59874,357756,4,1.56,E,LOCKETT CROSSING,31.5525,-84.2236,31.3315,-84.13416
201202,59874,358092,1,3.44,SE,LUKE,31.3,-84.9435,31.18,-84.5661
201202,59874,358092,2,1.37,WNW,CUBA,31.3,-84.87,31.18,-84.522
201202,59874,358093,1,0.0,N,COLQUITT,31.17,-84.73,31.102,-84.438
201202,59874,358098,1,6.0,SW,HOGGARD MILL,31.14,-84.53,31.84,-84.318
201202,59874,358107,1,1.5,SSW,CRESTVIEW,31.31,-84.62,31.186,-84.372
201202,59874,358107,2,0.0,N,NEWTON,31.31,-84.33,31.186,-84.198
201202,59874,358110,1,6.85,WSW,HOPEFUL,31.11,-84.49,31.66,-84.294
201202,59874,358117,1,0.0,N,ADEL,31.13,-83.42,31.78,-83.252
201202,59874,358118,1,0.0,N,NASHVILLE,31.2,-83.25,31.12,-83.15
201202,59874,358118,2,4.36,ESE,WEBER,31.21,-83.06,31.126,-83.36
201202,59874,358119,1,10.0,W,MOULTRIE,31.17,-83.9492,31.102,-83.56952
201202,59874,358119,2,0.0,N,MOULTRIE,31.17,-83.78,31.102,-83.468
201202,59874,358120,1,0.0,N,WHIGHAM,30.88,-84.32,30.528,-84.192
201202,59874,358120,2,0.0,N,CAIRO,30.87,-84.2,30.522,-84.12
201202,59874,358121,1,4.1,WNW,PARKERVILLE,31.46,-83.99,31.276,-83.594
201202,59874,358122,1,0.0,N,SYLVESTER,31.53,-83.83,31.318,-83.498
201202,59874,358123,1,0.0,N,SUMNER,31.5,-83.74,31.3,-83.444
201202,59874,358124,1,2.39,NNW,QUALITY,31.07,-84.09,31.42,-84.54
201202,59874,358125,1,0.0,N,CAMILLA,31.23,-84.21,31.138,-84.126
201202,59874,358126,1,17.0,W,PELHAM,31.12,-84.4374,31.72,-84.26244
201202,59874,358126,2,0.0,N,PELHAM,31.12,-84.15,31.72,-84.9
201202,59874,358127,1,3.88,SSW,(ABY)SOUTHWEST GA RGNL ARPT,31.48,-84.22,31.288,-84.132
201202,59874,358128,1,2.38,SSW,(ABY)SOUTHWEST GA RGNL ARPT,31.5,-84.21,31.3,-84.126
201202,59874,358129,1,0.0,N,ALBANY,31.57,-84.17,31.342,-84.102
201202,59874,358130,1,2.07,N,BETHANY,30.88,-84.73,30.528,-84.438
201202,59874,358131,1,0.0,N,BAINBRIDGE,30.9,-84.57,30.54,-84.342
201201,60529,362772,1,0.08,W,GRAND MARAIS LIGHT,46.6799,-85.9717,46.40794,-85.58302
201203,60530,361284,1,0.88,NE,FERDINAND,38.23,-86.86,38.138,-86.516
201203,60530,361285,1,0.0,N,DUBOIS,38.45,-86.8,38.27,-86.48
201203,60530,361286,1,3.5,N,ELON,38.47,-86.66,38.282,-86.396
201203,60530,361287,1,0.0,N,HENRYVILLE,38.53,-85.77,38.318,-85.462
201203,60531,361288,1,0.0,N,HARDINSBURG ARPT,37.78,-86.45,37.468,-86.27
201203,60531,361289,1,0.0,N,ELIZABETH TOWN,37.7,-85.87,37.42,-85.522
201203,60531,361290,1,0.88,NE,GATTON,37.48,-85.62,37.288,-85.372
201203,60531,361291,1,0.69,N,WILLISBURG,37.81,-85.12,37.486,-85.72
201203,60531,361292,1,0.69,N,FRANKLIN,36.73,-86.57,36.438,-86.342
201203,60531,361293,1,1.49,SSE,SINAI,37.93,-85.02,37.558,-85.12
201203,60531,361294,1,0.0,N,MIDWAY,38.15,-84.68,38.9,-84.408
201206,63337,379208,1,1.23,E,BUCHANAN,27.4,-81.78,27.24,-81.468
201206,63337,379208,2,3.7,NW,TORREY,27.63,-81.88,27.378,-81.528
201206,63337,379209,1,2.07,S,VENUS,27.04,-81.36,27.24,-81.216
201206,63337,379209,2,0.66,SSE,HICORIA,27.1413,-81.3455,27.8478,-81.2073
201206,63337,379585,1,2.82,WNW,PLACID LAKES,27.27,-81.44,27.162,-81.264
201206,63337,379585,2,4.47,NW,LAKE PLACID,27.3452,-81.4222,27.20712,-81.25332
201206,63337,380272,1,1.4,ESE,WNTR HVN CYP GDNS AR,27.96,-81.68,27.576,-81.408
201206,63337,380272,2,1.83,E,WNTR HVN CYP GDNS AR,27.97,-81.67,27.582,-81.402
201206,63337,380273,1,1.84,SE,WNTR HVN CYP GDNS AR,27.95,-81.68,27.57,-81.408
201206,63337,380273,2,2.44,E,WINTER HAVEN,28.04,-81.68,28.24,-81.408
201206,63337,380274,1,0.69,S,SAINT PETERSBURG BEACH,27.7,-82.74,27.42,-82.444
201206,63337,380274,2,0.92,SW,GULFPORT,27.74,-82.72,27.444,-82.432
201206,63337,380275,1,6.1,E,CHASSAHOWITZKA,28.7,-82.47,28.42,-82.282
201206,63337,380275,2,5.83,ESE,HOMOSASSA SPRINGS,28.77,-82.45,28.462,-82.27
201206,63337,380485,1,4.96,ENE,BRIGHTON,27.2714,-81.023,27.16284,-81.138
201206,63337,380485,2,5.89,ENE,BRIGHTON,27.2841,-81.0122,27.17046,-81.732
201206,63337,380487,1,0.93,SSE,NEW PORT RICHEY,28.2372,-82.715,28.14232,-82.429
201206,63337,380487,2,0.74,SE,NEW PORT RICHEY,28.2419,-82.7121,28.14514,-82.42726
201206,63337,380488,1,1.55,SSE,INDIAN ROCKS BEACH,27.8783,-82.8437,27.52698,-82.50622
201206,63337,380488,2,1.12,SE,INDIAN ROCKS BEACH,27.8878,-82.8379,27.53268,-82.50274
201206,63337,380489,1,4.8,S,LUTZ TAMPA DOWNS ARP,28.1506,-82.3747,28.9036,-82.22482
201206,63337,380489,2,3.75,S,LUTZ TAMPA DOWNS ARP,28.1659,-82.3762,28.9954,-82.22572
201206,63337,394649,1,3.75,W,ST CATHERINE,28.6258,-82.1915,28.37548,-82.1149
201206,63337,394649,2,1.2,NNE,WEBSTER,28.6244,-82.039,28.37464,-82.234
201206,63337,394649,3,0.48,ENE,THE VILLAGES,28.9434,-81.9731,28.56604,-81.58386
201206,63337,394649,4,4.98,W,OXFORD,28.9387,-82.1118,28.56322,-82.6708
201206,63337,394650,1,0.62,W,WARM MINERAL SPRINGS,27.05,-82.28,27.3,-82.168
201206,63337,394654,1,0.51,WSW,SARASOTA,27.3362,-82.5371,27.20172,-82.32226
201206,63337,395002,1,5.83,WNW,RINGGOLD,28.6843,-82.5379,28.41058,-82.32274
201206,63337,395002,2,2.6,NNW,RINGGOLD,28.6828,-82.4709,28.40968,-82.28254
201206,63337,395002,3,0.87,SW,BROOKSVILLE,28.54,-82.3988,28.324,-82.23928
201206,63337,395002,4,2.23,ENE,WEEKI WACHEE,28.5327,-82.5362,28.31962,-82.32172
201206,63337,395006,1,1.22,E,GULFPORT,27.75,-82.69,27.45,-82.414
201206,63337,395017,1,0.0,N,INDIAN ROCKS BEACH,27.9,-82.85,27.54,-82.51
201206,63337,395031,1,1.99,NE,BELLEAIR,27.9609,-82.7876,27.57654,-82.47256
201206,63337,395039,1,2.3,SE,NOWATNEY,28.0543,-82.426,28.3258,-82.2556
201206,63337,395047,1,0.0,N,NEW PORT RICHEY,28.25,-82.72,28.15,-82.432
201206,63337,395049,1,1.22,E,NEW PORT RICHEY,28.25,-82.7,28.15,-82.42
201206,63337,395061,1,0.69,N,SAINT PETERSBURG BEACH,27.72,-82.74,27.432,-82.444
201206,63337,395064,1,1.97,ENE,BEE RIDGE,27.29,-82.44,27.174,-82.264
201206,63337,395076,1,0.0,N,GOLDEN BEACH,27.07,-82.45,27.42,-82.27
201206,63337,395426,1,1.02,W,ELOISE,27.9982,-81.7466,27.59892,-81.44796
201206,63337,395463,1,0.67,NNW,NEW PORT RICHEY,28.2591,-82.7236,28.15546,-82.43416
201206,63337,395463,2,2.74,SE,JASMINE ESTATES,28.2573,-82.6745,28.15438,-82.4047
201206,63337,395463,3,2.27,W,NEW PORT RW PASCO AR,28.1756,-82.667,28.10536,-82.4002
201206,63337,395463,4,1.54,SW,HOLIDAY,28.175,-82.7586,28.105,-82.45516
201206,63337,395473,1,3.75,WNW,WARM MINERAL SPRINGS,27.0634,-82.329,27.3804,-82.1974
201206,63337,395473,2,2.04,NNW,WARM MINERAL SPRINGS,27.0784,-82.279,27.4704,-82.1674
201206,63337,395473,3,1.97,SSE,WARM MINERAL SPRINGS,27.024,-82.257,27.144,-82.1542
201206,63337,395473,4,2.82,NNE,MANASOTA,27.0182,-82.3041,27.1092,-82.18246
201206,63337,402449,1,0.86,W,SAINT PETERSBURG-CLEARWATER INTL AIRPORT,27.9086,-82.7041,27.54516,-82.42246
201204,63344,379283,1,1.5,SW,SAN JUAN,26.1663,-98.1888,26.9978,-98.11328
201204,63344,379307,1,4.19,NNE,PORT ISABEL,26.1246,-97.1706,26.7476,-97.10236
201204,63344,379307,2,2.09,ENE,PORT ISABEL,26.0783,-97.1676,26.4698,-97.10056
201204,63344,380169,1,2.51,NNE,SARITA,27.2504,-97.7776,27.15024,-97.46656
201204,63344,380169,2,3.03,NNE,SARITA,27.2608,-97.7819,27.15648,-97.46914
201204,63344,380170,1,0.69,S,BAYVIEW,26.12,-97.4,26.72,-97.24
201205,63345,379268,1,0.9,NW,WINNSBORO,32.96,-95.29,32.576,-95.174
201205,63345,379269,1,0.0,N,PITTSBURG,33.0,-94.97,33.0,-94.582
201205,63346,379270,1,0.0,N,SAGINAW BAY LIGHT,43.81,-83.72,43.486,-83.432
201205,63346,379271,1,0.0,N,GRAVELLY SHOALS LIGHT,44.02,-83.54,44.12,-83.324
201205,63346,379274,1,0.0,N,SAGINAW BAY LIGHT,43.81,-83.72,43.486,-83.432
201205,63347,379272,1,1.5,NNE,JACKSONVILLE,31.97,-95.26,31.582,-95.156
201205,63348,379279,1,0.0,N,SAGINAW BAY LIGHT,43.81,-83.72,43.486,-83.432
201205,63348,379280,1,0.0,N,GRAVELLY SHOALS LIGHT,44.02,-83.54,44.12,-83.324
201205,63349,379281,1,0.91,SE,MONTGOMERY,31.66,-92.89,31.396,-92.534
201205,63349,379282,1,0.0,N,DRY PRONG,31.58,-92.53,31.348,-92.318
201205,63349,379284,1,0.69,N,JENA,31.69,-92.13,31.414,-92.78
201205,63350,379311,1,2.89,NW,BUENA VISTA,43.43,-83.86,43.258,-83.516
201205,63350,379313,1,2.04,NW,MERSHON,43.47,-83.98,43.282,-83.588
201205,63350,379314,1,1.5,E,ARTHUR,43.45,-83.75,43.27,-83.45
201205,63350,379315,1,0.0,N,CHESANING,43.18,-84.12,43.108,-84.72
201205,63350,379316,1,2.04,SE,ARTHUR,43.43,-83.75,43.258,-83.45
201205,63350,379317,1,1.38,N,JUNIATA,43.37,-83.47,43.222,-83.282
201205,63350,379318,1,1.5,W,MERSHON,43.45,-83.98,43.27,-83.588
201204,63352,379320,1,2.76,S,ZAPATA,26.86,-99.23,26.516,-99.138
201204,63352,379323,1,3.67,NNW,LOPENO,26.77,-99.12,26.462,-99.72
201204,63352,379324,1,0.0,N,ROMA ARPT,26.58,-99.13,26.348,-99.78
201204,63352,379325,1,0.0,N,ROMA ARPT,26.58,-99.13,26.348,-99.78
201206,63353,379321,1,2.93,E,MANSFIELD,32.03,-93.67,32.18,-93.402
201206,63354,379326,1,0.0,N,CHIRENO,31.5,-94.35,31.3,-94.21
201206,63354,379327,1,0.0,N,CHIRENO,31.5,-94.35,31.3,-94.21
201206,63354,379328,1,0.69,N,BROADDUS,31.31,-94.27,31.186,-94.162
201206,63354,379329,1,3.0,NNE,MT SELMAN,32.11,-95.26,32.66,-95.156
201206,63354,379330,1,1.36,ENE,MT SELMAN,32.08,-95.26,32.48,-95.156
201206,63354,379331,1,0.91,NE,BULLARD,32.14,-95.32,32.84,-95.192
201206,63354,379332,1,1.38,S,TYLER,32.33,-95.3,32.198,-95.18
201206,63354,379333,1,1.38,S,TYLER,32.33,-95.3,32.198,-95.18
201206,63355,379341,1,0.86,NE,PITTSTON,41.33,-75.79,41.198,-75.474
