Month,FIPS,se_count,Sum of MAGNITUDE,Average of MAGNITUDE,Max of MAGNITUDE
1,20001,1,,,
1,20005,1,,,
1,20006,2,50,50,50
1,20007,2,,,
1,20009,1,,,
1,20011,1,52,52,52
1,20012,1,52,52,52
1,20013,1,,,
1,20014,1,,,
1,20015,1,,,
1,20016,1,,,
1,20017,1,,,
1,20018,2,,,
1,20019,3,,,
1,20020,1,,,
1,20024,1,52,52,52
1,20025,2,52,52,52
1,20026,1,52,52,52
1,20027,2,,,
1,20028,1,,,
1,20029,1,,,
1,20030,1,,,
1,20032,1,,,
1,20033,1,,,
1,20036,1,,,
1,20040,2,52,52,52
1,20041,1,,,
1,20042,1,,,
1,20043,1,,,
1,20044,1,,,
1,20045,1,,,
1,20046,1,,,
1,20047,1,,,
1,20048,2,,,
1,20049,1,,,
1,20051,1,,,
1,20055,1,,,
1,20056,1,,,
1,20057,2,,,
1,20059,1,,,
1,20060,1,,,
1,20063,1,,,
1,20075,1,,,
1,20077,1,,,
1,20078,1,,,
1,20087,1,,,
1,20090,1,50,50,50
1,20102,2,52,52,52
1,20103,2,52,52,52
1,20104,2,52,52,52
1,20105,1,,,
1,31002,1,,,
1,31003,3,,,
1,31006,2,53,53,53
1,31007,2,53,53,53
1,31010,2,50,50,50
1,31011,2,50,50,50
1,31012,2,50,50,50
1,31013,1,,,
1,31014,1,,,
1,31015,2,50,50,50
1,31016,2,50,50,50
1,31017,2,50,50,50
1,31018,2,50,50,50
1,31019,2,105,52.5,53
1,31020,2,51,51,51
1,31026,1,52,52,52
1,31027,1,52,52,52
1,31028,1,53,53,53
1,31029,1,53,53,53
1,31030,2,52,52,52
1,31031,2,53,53,53
1,31032,2,50,50,50
1,31033,2,50,50,50
1,31034,3,101,50.5,51
1,31038,1,52,52,52
1,31039,8,423,52.875,59
1,31042,2,51,51,51
1,31043,2,50,50,50
1,31044,2,50,50,50
1,31045,2,50,50,50
1,31050,1,,,
1,31051,2,50,50,50
1,31052,3,50,50,50
1,31053,2,54,54,54
1,31055,2,52,52,52
1,31059,1,50,50,50
1,31060,1,,,
1,31061,1,,,
1,31062,2,109,54.5,55
1,31064,2,106,53,56
1,31065,1,50,50,50
1,31066,4,58,58,58
1,31067,4,50,50,50
1,31068,4,50,50,50
1,31072,1,,,
1,31073,1,,,
1,31075,2,110,55,58
1,31076,1,,,
1,31077,2,,,
1,31078,2,50,50,50
1,31082,1,,,
1,31084,1,,,
1,31085,1,,,
1,31086,2,,,
1,31087,2,,,
1,31088,2,50,50,50
1,31089,2,50,50,50
1,31090,3,50,50,50
1,31091,3,50,50,50
1,31092,3,50,50,50
1,31093,2,52,52,52
1,31095,1,50,50,50
1,38001,2,54,54,54
1,38002,2,52,52,52
1,38003,2,52,52,52
1,38004,1,,,
1,38005,1,,,
1,38006,4,,,
1,38007,5,,,
1,38008,6,,,
1,38009,2,56,56,56
1,38010,2,52,52,52
1,38011,2,53,53,53
1,38012,1,,,
1,38013,1,,,
1,38014,5,,,
1,38015,5,,,
1,38016,5,,,
1,38017,2,50,50,50
1,38018,2,52,52,52
1,38019,2,37,37,37
1,38020,2,52,52,52
1,38021,2,52,52,52
1,38022,2,52,52,52
1,38023,1,,,
1,38024,5,,,
1,38025,1,,,
1,38026,5,,,
1,38027,5,,,
1,38028,5,,,
1,38029,5,,,
1,38030,5,,,
1,38031,1,53,53,53
1,38032,1,52,52,52
1,38033,2,51,51,51
1,38034,2,50,50,50
1,38035,2,57,57,57
1,38036,1,,,
1,38037,1,,,
1,38038,5,,,
1,38039,5,,,
1,38040,1,52,52,52
1,38041,3,105,52.5,53
1,38042,2,52,52,52
1,38043,1,54,54,54
1,38044,1,,,
1,38045,2,53,53,53
1,38046,2,52,52,52
1,38047,1,,,
1,38048,1,,,
1,38049,5,,,
1,38050,1,,,
1,38051,1,,,
1,38052,5,,,
1,38053,5,,,
1,38054,5,,,
1,46001,1,62,62,62
1,46002,1,56,56,56
1,46003,2,53,53,53
1,46004,2,52,52,52
1,46005,2,,,
1,46006,3,,,
1,46007,2,,,
1,46008,2,,,
1,46009,3,55,55,55
1,46010,2,,,
1,46011,3,,,
1,46012,1,52,52,52
1,46013,1,56,56,56
1,46014,1,56,56,56
1,46015,1,53,53,53
1,46016,2,56,56,56
1,46017,2,,,
1,46018,3,,,
1,46019,3,,,
1,46020,3,,,
1,46021,3,,,
1,46022,3,,,
1,46023,3,,,
1,46024,2,,,
1,46025,2,52,52,52
1,46026,1,58,58,58
1,46027,1,52,52,52
1,46030,1,52,52,52
1,46031,1,60,60,60
1,46032,1,65,65,65
1,46033,1,56,56,56
1,46034,1,61,61,61
1,46035,1,62,62,62
1,46036,1,50,50,50
1,46037,3,56,56,56
1,46038,1,,,
1,46039,1,,,
1,46040,1,,,
1,46041,1,55,55,55
1,46042,1,52,52,52
1,46043,1,58,58,58
1,46044,1,52,52,52
1,46045,2,52,52,52
1,46046,1,52,52,52
1,46047,1,52,52,52
1,46048,2,63,63,63
1,46049,1,55,55,55
1,46050,1,,,
1,46051,1,56,56,56
1,46052,1,,,
1,46053,1,,,
1,46054,1,,,
1,46055,1,,,
1,46056,1,,,
1,46057,1,,,
1,46058,1,,,
1,46059,1,,,
1,46060,1,,,
1,46061,1,,,
1,46062,1,,,
1,46063,1,,,
1,46064,1,,,
1,46065,1,,,
1,46066,1,,,
1,46067,1,,,
1,46068,1,,,
1,46069,1,,,
1,46070,1,,,
1,46071,1,,,
1,46072,1,56,56,56
1,46073,1,56,56,56
1,46074,1,56,56,56
2,20004,1,,,
2,20005,2,,,
2,20006,2,,,
2,20007,2,,,
2,20008,1,,,
2,20009,1,,,
2,20010,1,,,
2,20013,2,,,
2,20014,2,,,
2,20015,1,,,
2,20016,1,,,
2,20017,2,,,
2,20018,2,,,
2,20019,2,,,
2,20020,1,,,
2,20021,3,1,1,1
2,20022,1,,,
2,20023,1,,,
2,20025,1,,,
2,20027,2,,,
2,20028,2,,,
2,20029,1,,,
2,20032,2,,,
2,20033,2,,,
2,20034,1,,,
2,20035,1,,,
2,20041,2,,,
2,20042,2,,,
2,20047,3,,,
2,20048,2,,,
2,20049,2,,,
2,20050,3,,,
2,20051,2,,,
2,20056,1,,,
2,20057,2,,,
2,20058,1,,,
2,20059,1,,,
2,20060,1,,,
2,20067,1,,,
2,20068,1,,,
2,20069,1,,,
2,20070,1,,,
2,20072,1,,,
2,20073,1,,,
2,20082,2,,,
2,20083,2,,,
2,20091,1,,,
2,20093,1,,,
2,20094,1,,,
2,20095,1,,,
2,20096,1,,,
2,20097,1,,,
2,20098,1,,,
2,20099,1,,,
2,20100,1,,,
2,20101,1,,,
2,20104,1,,,
2,20105,1,,,
2,31002,1,,,
2,31003,1,,,
2,31004,2,,,
2,31005,2,,,
2,31011,1,,,
2,31012,1,,,
2,31013,1,,,
2,31014,1,,,
2,31015,2,,,
2,31016,1,,,
2,31017,1,,,
2,31018,1,,,
2,31019,1,,,
2,31021,1,,,
2,31030,1,,,
2,31031,1,,,
2,31032,1,,,
2,31033,2,,,
2,31034,1,,,
2,31039,2,,,
2,31040,2,,,
2,31041,2,,,
2,31042,2,,,
2,31043,2,,,
2,31044,3,,,
2,31045,3,,,
2,31046,2,,,
2,31047,2,,,
2,31048,3,,,
2,31049,3,,,
2,31050,2,,,
2,31051,3,,,
2,31052,3,,,
2,31053,3,,,
2,31055,1,,,
2,31060,1,,,
2,31061,3,,,
2,31062,4,,,
2,31063,3,,,
2,31064,3,,,
2,31065,2,,,
2,31066,2,,,
2,31067,2,,,
2,31068,1,,,
2,31072,2,,,
2,31073,3,,,
2,31074,3,,,
2,31075,3,,,
2,31076,3,,,
2,31077,3,,,
2,31078,2,,,
2,31082,3,,,
2,31083,3,,,
2,31084,3,,,
2,31085,3,,,
2,31086,3,,,
2,31087,3,,,
2,31088,2,,,
2,31089,2,,,
2,31090,1,,,
2,31091,2,,,
2,31092,1,,,
2,31094,2,,,
2,31095,1,,,
2,31096,1,,,
2,38001,1,,,
2,38002,1,,,
2,38003,1,,,
2,38004,1,,,
2,38005,1,,,
2,38006,4,,,
2,38007,4,,,
2,38008,5,,,
2,38009,1,,,
2,38010,1,,,
2,38011,1,,,
2,38012,1,,,
2,38013,1,,,
2,38014,4,,,
2,38015,4,,,
2,38016,5,,,
2,38017,1,,,
2,38018,1,,,
2,38019,1,,,
2,38020,1,,,
2,38021,1,,,
2,38022,1,,,
2,38024,4,,,
2,38026,4,,,
2,38027,6,,,
2,38028,5,,,
2,38029,6,,,
2,38030,6,,,
2,38031,2,,,
2,38032,2,,,
2,38033,2,,,
2,38035,1,,,
2,38038,5,,,
2,38039,5,,,
2,38040,1,,,
2,38041,1,,,
2,38042,1,,,
2,38043,1,,,
2,38044,1,,,
2,38048,1,,,
2,38049,5,,,
2,38050,1,,,
2,38051,2,,,
2,38052,5,,,
2,38053,5,,,
2,38054,4,,,
2,46001,1,,,
2,46002,1,,,
2,46003,2,,,
2,46004,2,,,
2,46005,2,,,
2,46006,3,,,
2,46007,4,,,
2,46008,4,,,
2,46009,3,,,
2,46010,2,,,
2,46011,4,,,
2,46012,2,,,
2,46013,3,,,
2,46014,2,,,
2,46015,3,,,
2,46016,3,,,
2,46017,1,,,
2,46018,1,,,
2,46019,2,,,
2,46020,4,,,
2,46021,4,,,
2,46022,4,,,
2,46023,4,,,
2,46024,2,,,
2,46025,2,,,
2,46026,2,,,
2,46027,2,,,
2,46028,2,,,
2,46029,2,,,
2,46030,2,,,
2,46031,3,,,
2,46032,3,,,
2,46033,3,,,
2,46034,2,,,
2,46035,2,,,
2,46036,2,,,
2,46037,2,,,
2,46041,2,,,
2,46042,2,,,
2,46043,3,,,
2,46044,2,,,
2,46045,1,,,
2,46046,3,,,
2,46047,2,,,
2,46048,1,,,
2,46049,1,,,
2,46062,1,,,
2,46066,1,,,
2,46067,1,,,
2,46069,1,,,
2,46070,1,,,
2,46071,1,,,
2,46072,2,,,
2,46073,3,,,
2,46074,2,,,
3,20001,4,52,52,52
3,20002,2,59,59,59
3,20003,2,50,50,50
3,20004,2,50,50,50
3,20005,5,52,52,52
3,20006,3,52,52,52
3,20007,2,,,
3,20013,4,116,58,64
3,20014,2,56,56,56
3,20015,2,52,52,52
3,20016,3,109,54.5,56
3,20017,7,300,50,50
3,20018,1,,,
3,20019,1,,,
3,20027,4,74,74,74
3,20028,3,52,52,52
3,20029,3,54,54,54
3,20031,2,50,50,50
3,20032,1,,,
3,20033,1,,,
3,20035,2,2.75,1.375,1.75
3,20037,1,0.88,0.88,0.88
3,20039,1,,,
3,20041,1,63,63,63
3,20042,2,60,60,60
3,20043,1,,,
3,20044,1,,,
3,20045,1,,,
3,20046,1,,,
3,20047,1,,,
3,20048,1,,,
3,20061,5,169.88,42.47,59
3,20063,6,297,59.4,64
3,20064,2,50,50,50
3,20065,1,,,
3,20066,2,,,
3,20074,2,52,52,52
3,20075,1,,,
3,20077,1,,,
3,20078,5,221,55.25,62
3,20080,2,,,
3,20081,1,,,
3,20084,2,121,60.5,65
3,20086,2,110,55,56
3,20087,1,,,
3,20088,1,,,
3,20090,1,53,53,53
3,20111,1,0.88,0.88,0.88
3,20115,3,3.25,1.083333333,1.25
3,20143,1,1,1,1
3,20149,1,0.88,0.88,0.88
3,20177,1,0.88,0.88,0.88
3,20183,1,1.75,1.75,1.75
3,20193,4,,,
3,20201,2,2,1,1
3,31002,5,,,
3,31003,7,,,
3,31004,2,,,
3,31005,2,,,
3,31006,1,,,
3,31007,1,,,
3,31008,1,,,
3,31009,2,,,
3,31010,1,,,
3,31011,3,,,
3,31015,5,,,
3,31016,1,,,
3,31017,2,,,
3,31018,1,,,
3,31019,7,,,
3,31020,3,,,
3,31021,5,,,
3,31022,2,,,
3,31023,3,,,
3,31024,2,,,
3,31025,8,55,55,55
3,31026,2,55,55,55
3,31027,3,,,
3,31028,2,59,59,59
3,31029,1,,,
3,31030,1,,,
3,31031,1,,,
3,31032,1,50,50,50
3,31033,1,50,50,50
3,31035,2,,,
3,31036,3,62,62,62
3,31037,9,62,62,62
3,31038,2,67,67,67
3,31039,10,214,53.5,59
3,31040,3,,,
3,31041,16,103,51.5,52
3,31042,2,51,51,51
3,31043,5,50,50,50
3,31044,1,50,50,50
3,31046,4,54,54,54
3,31047,2,,,
3,31048,2,,,
3,31049,1,,,
3,31050,2,50,50,50
3,31051,5,50,50,50
3,31052,1,,,
3,31053,16,,,
3,31054,3,,,
3,31055,12,,,
3,31056,2,,,
3,31057,3,54,54,54
3,31058,2,54,54,54
3,31059,2,62,62,62
3,31060,14,640,53.33333333,58
3,31061,5,102.88,34.29333333,52
3,31062,8,314,52.33333333,55
3,31063,2,,,
3,31064,3,109,54.5,56
3,31065,1,50,50,50
3,31066,1,,,
3,31067,6,52.63,17.54333333,50
3,31069,1,59,59,59
3,31070,1,59,59,59
3,31071,3,64,64,64
3,31072,3,50,50,50
3,31073,6,204,51,53
3,31074,5,150,50,50
3,31075,7,210,52.5,55
3,31076,3,51,51,51
3,31077,1,,,
3,31078,1,50,50,50
3,31079,4,52,52,52
3,31080,2,59,59,59
3,31081,2,64,64,64
3,31082,4,109,54.5,57
3,31083,3,2.5,2.5,2.5
3,31084,2,,,
3,31085,2,,,
3,31086,3,53,53,53
3,31087,1,,,
3,31089,3,,,
3,31093,3,,,
3,31094,2,,,
3,31095,5,,,
3,31096,3,,,
3,31103,2,,,
3,31107,4,,,
3,31111,3,,,
3,31113,1,,,
3,31119,3,,,
3,31121,2,,,
3,31125,2,,,
3,31127,1,,,
3,31129,3,4.25,1.416666667,1.75
3,31131,1,,,
3,31139,4,,,
3,31141,5,,,
3,31147,1,,,
3,31149,3,,,
3,31151,1,,,
3,31153,7,,,
3,31155,8,,,
3,31159,1,,,
3,31163,2,,,
3,31167,1,,,
3,31169,1,1,1,1
3,31173,2,,,
3,31175,2,,,
3,31177,3,,,
3,31179,2,,,
3,31181,3,3.63,1.21,1.75
3,31183,1,,,
3,38006,1,,,
3,38007,2,,,
3,38008,2,,,
3,38014,2,,,
3,38015,2,,,
3,38016,2,,,
3,38023,1,,,
3,38024,2,,,
3,38025,2,,,
3,38026,2,,,
3,38027,3,,,
3,38028,3,,,
3,38029,3,,,
3,38030,3,,,
3,38034,2,,,
3,38035,2,,,
3,38036,2,,,
3,38037,3,,,
3,38038,3,,,
3,38039,3,,,
3,38041,1,,,
3,38042,1,,,
3,38043,1,,,
3,38044,1,,,
3,38045,2,,,
3,38047,2,,,
3,38048,2,,,
3,38049,3,,,
3,38050,2,,,
3,38051,2,,,
3,38052,3,,,
3,38053,4,,,
3,38054,2,,,
3,38059,1,,,
3,46001,2,,,
3,46002,2,,,
3,46003,5,,,
3,46004,3,,,
3,46005,5,,,
3,46006,3,,,
3,46007,4,,,
3,46008,3,,,
3,46009,10,,,
3,46010,3,,,
3,46011,8,,,
3,46012,2,,,
3,46013,4,,,
3,46014,2,,,
3,46015,5,,,
3,46016,3,,,
3,46017,4,,,
3,46018,3,,,
3,46019,3,,,
3,46020,3,,,
3,46021,4,,,
3,46022,2,,,
3,46023,5,,,
3,46024,1,,,
3,46025,2,,,
3,46026,3,,,
3,46027,7,,,
3,46028,2,,,
3,46029,4,,,
3,46030,3,,,
3,46031,6,,,
3,46032,2,,,
3,46033,2,,,
3,46034,2,,,
3,46035,5,,,
3,46036,2,,,
3,46037,4,,,
3,46038,4,,,
3,46039,4,,,
3,46040,3,,,
3,46041,4,,,
3,46042,3,,,
3,46043,4,,,
3,46044,3,,,
3,46045,3,,,
3,46046,3,,,
3,46047,3,,,
3,46048,2,,,
3,46049,3,,,
3,46050,3,,,
3,46051,4,,,
3,46052,3,,,
3,46053,5,,,
3,46054,3,,,
3,46055,4,,,
3,46056,3,,,
3,46057,6,,,
3,46058,4,,,
3,46059,4,,,
3,46060,3,,,
3,46061,5,,,
3,46062,3,,,
3,46063,4,,,
3,46064,2,,,
3,46065,2,,,
3,46067,4,,,
3,46069,1,,,
3,46071,1,,,
3,46072,2,,,
3,46073,4,,,
3,46074,2,,,
3,46075,3,,,
3,46077,1,,,
3,46079,2,,,
3,46083,7,,,
3,46085,2,,,
3,46087,2,,,
3,46089,1,,,
3,46091,1,,,
3,46093,1,,,
3,46095,1,,,
3,46097,1,,,
3,46099,15,,,
3,46101,8,,,
3,46102,1,,,
3,46103,2,,,
3,46105,1,,,
3,46107,1,,,
3,46109,2,,,
3,46111,3,,,
3,46115,3,,,
3,46117,2,,,
3,46119,1,,,
3,46121,2,,,
3,46123,2,,,
3,46125,5,,,
3,46127,8,,,
3,46129,1,,,
3,46135,4,,,
3,46137,1,,,
4,20001,1,,,
4,20003,6,165,33,61
4,20005,2,,,
4,20006,1,50,50,50
4,20009,9,180.5,20.05555556,64
4,20013,1,,,
4,20015,5,3.76,0.94,1
4,20017,1,61,61,61
4,20021,7,323.75,46.25,63
4,20023,2,55,27.5,53
4,20029,3,3.25,1.083333333,1.5
4,20031,6,55.63,11.126,50
4,20035,2,2,1,1
4,20037,8,312,52,52
4,20043,1,,,
4,20049,5,4.25,1.416666667,2
4,20059,3,2,1,1
4,20063,4,106,26.5,52
4,20065,2,113,56.5,61
4,20073,6,184.75,36.95,61
4,20075,1,0.75,0.75,0.75
4,20077,4,2.88,0.96,1
4,20091,2,,,
4,20099,2,61,61,61
4,20101,3,108,36,57
4,20103,1,,,
4,20107,3,,,
4,20111,2,61,61,61
4,20121,2,0.75,0.75,0.75
4,20123,1,1.75,1.75,1.75
4,20125,3,159,53,56
4,20131,1,52,52,52
4,20135,3,67.75,22.58333333,65
4,20139,1,,,
4,20141,1,53,53,53
4,20145,1,1.75,1.75,1.75
4,20147,5,223,44.6,59
4,20153,1,73,73,73
4,20155,6,7.75,1.291666667,1.75
4,20159,2,3,1.5,1.5
4,20163,1,65,65,65
4,20165,4,4.75,1.1875,1.75
4,20171,1,1,1,1
4,20173,4,4.63,1.1575,1.75
4,20179,1,0.88,0.88,0.88
4,20181,2,54,27,53
4,20183,2,106,53,55
4,20191,2,0.75,0.75,0.75
4,20195,2,112,56,56
4,20199,4,111.88,37.29333333,61
4,20201,1,1.25,1.25,1.25
4,20207,1,61,61,61
4,20209,1,,,
4,31001,2,1.63,0.815,0.88
4,31002,1,,,
4,31003,1,,,
4,31004,1,,,
4,31005,1,,,
4,31006,1,,,
4,31007,1,,,
4,31008,1,,,
4,31009,1,,,
4,31010,1,,,
4,31011,1,,,
4,31012,1,,,
4,31016,1,,,
4,31019,9,7.88,1.125714286,1.75
4,31020,1,,,
4,31021,1,,,
4,31022,1,,,
4,31023,1,,,
4,31024,1,,,
4,31025,1,,,
4,31026,1,,,
4,31027,1,,,
4,31029,3,123,41,61
4,31035,2,0.88,0.88,0.88
4,31036,1,,,
4,31037,1,,,
4,31039,1,,,
4,31040,1,,,
4,31047,3,2.76,0.92,1
4,31054,1,,,
4,31055,1,,,
4,31056,1,,,
4,31057,1,,,
4,31058,1,,,
4,31059,2,50,50,50
4,31060,2,52,52,52
4,31061,3,2.88,0.96,1
4,31067,4,4.51,1.1275,1.5
4,31069,1,,,
4,31072,1,,,
4,31079,2,1.88,0.94,1
4,31080,1,,,
4,31081,1,,,
4,31082,2,54,54,54
4,31083,1,1,1,1
4,31093,3,3.38,1.126666667,1.5
4,31094,1,,,
4,31095,1,,,
4,31096,1,,,
4,31099,3,2.88,0.96,1
4,31109,6,55.38,9.23,50
4,31119,1,50,50,50
4,31129,2,52.25,26.125,51
4,31131,1,0.88,0.88,0.88
4,31157,5,264,52.8,58
4,31165,1,52,52,52
4,31181,4,55.26,13.815,52
4,38002,1,,,
4,38003,1,,,
4,38004,1,,,
4,38005,1,,,
4,38009,1,,,
4,38010,1,,,
4,38011,1,,,
4,38012,1,,,
4,38013,1,,,
4,38017,1,,,
4,38028,1,,,
4,38029,1,,,
4,38030,1,,,
4,38035,1,,,
4,38037,1,,,
4,38038,2,,,
4,38039,2,,,
4,38045,1,,,
4,38046,1,,,
4,38047,1,,,
4,38048,2,,,
4,38049,2,,,
4,38050,1,,,
4,38051,2,,,
4,38052,2,,,
4,38053,2,,,
4,38067,1,,,
4,38073,1,,,
4,38081,1,,,
4,38091,1,,,
4,38097,1,,,
4,38099,1,,,
4,46001,2,,,
4,46002,2,,,
4,46003,2,,,
4,46004,1,,,
4,46005,2,,,
4,46006,1,,,
4,46007,1,,,
4,46008,1,,,
4,46009,4,,,
4,46010,1,,,
4,46011,4,,,
4,46012,1,,,
4,46013,8,,,
4,46014,1,,,
4,46015,2,,,
4,46016,1,,,
4,46017,2,,,
4,46018,1,,,
4,46019,1,,,
4,46020,1,,,
4,46021,2,,,
4,46022,1,,,
4,46023,1,,,
4,46024,2,,,
4,46025,2,,,
4,46026,2,,,
4,46027,2,,,
4,46028,2,,,
4,46029,7,,,
4,46030,1,,,
4,46031,3,,,
4,46032,1,,,
4,46033,1,,,
4,46034,1,,,
4,46035,4,,,
4,46036,1,,,
4,46037,2,,,
4,46038,1,,,
4,46039,2,,,
4,46040,1,,,
4,46041,2,,,
4,46042,1,,,
4,46043,1,,,
4,46044,1,,,
4,46045,2,,,
4,46046,1,,,
4,46047,1,,,
4,46048,1,,,
4,46049,2,,,
4,46050,1,,,
4,46051,2,,,
4,46052,1,,,
4,46053,1,,,
4,46054,1,,,
4,46055,1,,,
4,46056,1,,,
4,46057,4,,,
4,46058,1,,,
4,46059,2,,,
4,46060,1,,,
4,46061,2,,,
4,46062,1,,,
4,46063,1,,,
4,46064,1,,,
4,46065,2,,,
4,46066,1,,,
4,46067,3,,,
4,46068,1,,,
4,46069,2,,,
4,46070,1,,,
4,46071,1,,,
4,46072,1,,,
4,46073,1,,,
4,46074,2,,,
4,46075,1,,,
4,46083,6,,,
4,46085,1,,,
4,46089,1,,,
4,46091,1,,,
4,46099,10,,,
4,46101,6,,,
4,46107,1,,,
4,46109,2,,,
4,46111,2,,,
4,46115,3,,,
4,46117,1,,,
4,46119,1,,,
4,46125,3,,,
4,46127,4,,,
4,46129,1,,,
4,46135,3,,,
5,20001,2,56,56,56
5,20003,8,53,26.5,52
5,20005,4,1,1,1
5,20007,3,,,
5,20009,20,248.76,16.584,65
5,20011,3,,,
5,20013,6,76.75,12.79166667,70
5,20015,37,671.02,31.95333333,61
5,20017,3,62,31,61
5,20018,1,52,52,52
5,20019,3,169,56.33333333,61
5,20021,18,223.75,22.375,61
5,20023,1,1,1,1
5,20025,8,119,19.83333333,63
5,20027,4,2.88,0.96,1
5,20029,6,57.51,9.585,52
5,20031,11,228.5,45.7,61
5,20033,3,1,1,1
5,20035,19,228.38,20.76181818,61
5,20037,21,315,52.5,55
5,20039,2,,,
5,20041,10,128.38,16.0475,70
5,20043,3,2.5,1.25,1.5
5,20045,8,273,54.6,61
5,20047,5,63.25,31.625,62
5,20049,3,1,1,1
5,20051,9,142.88,28.576,70
5,20053,6,64.75,12.95,61
5,20055,4,225,56.25,61
5,20057,17,243.25,30.40625,70
5,20059,14,595.75,49.64583333,70
5,20061,12,352.25,32.02272727,61
5,20063,6,8.26,1.376666667,3
5,20067,7,49.63,16.54333333,48
5,20069,10,5.88,0.98,1
5,20073,15,299,33.22222222,70
5,20075,7,112,16,55
5,20077,4,53,26.5,52
5,20079,10,59.75,11.95,56
5,20081,4,54,13.5,50
5,20083,14,262.5,29.16666667,78
5,20085,6,3.88,0.97,1
5,20089,5,65.13,13.026,61
5,20091,1,52,52,52
5,20093,3,3.5,1.166666667,1.5
5,20095,8,343,57.16666667,61
5,20097,1,61,61,61
5,20099,5,61,61,61
5,20101,1,51,51,51
5,20103,10,291,58.2,61
5,20104,1,52,52,52
5,20105,6,176.75,29.45833333,61
5,20109,3,3,1.5,1.75
5,20111,14,253.51,31.68875,75
5,20113,21,485.38,30.33625,62
5,20115,13,161.75,17.97222222,52
5,20117,3,113,56.5,61
5,20119,18,11.5,1.4375,2.25
5,20121,3,2.75,1.375,1.75
5,20123,5,171,57,60
5,20125,14,236,59,61
5,20127,1,1,1,1
5,20129,4,5.25,1.3125,1.75
5,20131,7,54.88,13.72,52
5,20133,11,156,39,52
5,20135,1,1,1,1
5,20137,3,3.75,1.25,1.75
5,20139,19,936.5,58.53125,70
5,20141,3,2,1,1
5,20143,6,281,46.83333333,78
5,20145,8,5.25,1.75,2.5
5,20147,2,1,1,1
5,20149,1,70,70,70
5,20151,10,380,42.22222222,70
5,20153,9,60.75,8.678571429,52
5,20155,28,477.5,28.08823529,65
5,20157,3,4,1.333333333,1.5
5,20159,16,385,35,87
5,20161,4,117,29.25,61
5,20163,3,5.5,2.75,3
5,20165,5,70,70,70
5,20167,5,68.5,17.125,66
5,20169,16,348.88,26.83692308,66
5,20171,4,6.5,1.625,2
5,20173,45,774.01,28.66703704,61
5,20175,6,174.5,29.08333333,67
5,20177,3,3,1.5,2
5,20179,2,0.75,0.75,0.75
5,20181,9,8.51,1.215714286,2
5,20183,3,3,1,1
5,20185,3,66,33,65
5,20187,10,111.88,12.43111111,52
5,20189,5,5.5,1.1,1.5
5,20191,21,274.25,39.17857143,56
5,20193,13,60,8.571428571,51
5,20195,5,9,1.8,2.75
5,20197,4,175,43.75,61
5,20199,8,57.75,9.625,52
5,20201,4,64.75,21.58333333,61
5,20203,4,4.63,1.1575,1.75
5,20205,7,52,52,52
5,20207,4,2.63,1.315,1.75
5,20209,3,70,70,70
5,31001,9,8.38,1.197142857,1.5
5,31002,1,,,
5,31003,2,51,25.5,50
5,31011,1,61,61,61
5,31016,1,52,52,52
5,31017,6,7,1.166666667,1.75
5,31019,6,6.75,1.125,2
5,31020,1,,,
5,31021,1,1.5,1.5,1.5
5,31023,5,3.5,1.75,1.75
5,31025,2,65.88,32.94,65
5,31029,16,212.75,17.72916667,77
5,31031,1,1,1,1
5,31033,4,4.63,1.1575,1.75
5,31034,1,57,57,57
5,31035,6,6.5,1.3,1.75
5,31037,1,,,
5,31041,7,111.25,18.54166667,54
5,31043,2,,,
5,31047,12,59.13,7.39125,50
5,31049,5,59,11.8,52
5,31051,1,,,
5,31053,3,3,1,1
5,31055,14,126.25,12.625,65
5,31057,6,57.63,9.605,51
5,31059,1,,,
5,31061,6,6.13,1.5325,2
5,31063,12,59.25,14.8125,52
5,31065,3,3.01,1.003333333,1.25
5,31067,6,5.5,1.375,2.5
5,31081,9,125.63,15.70375,65
5,31082,1,51,51,51
5,31083,4,3,1.5,2
5,31085,2,1,1,1
5,31087,7,10.63,1.771666667,3
5,31089,1,1,1,1
5,31091,5,6.5,1.3,1.75
5,31093,1,1.5,1.5,1.5
5,31095,10,117,14.625,54
5,31097,5,5,1.25,1.75
5,31099,2,2,1,1
5,31101,16,69,4.928571429,50
5,31103,1,1,1,1
5,31107,1,61,61,61
5,31109,25,771.75,45.39705882,80
5,31111,20,22.88,1.525333333,2.75
5,31113,1,1.25,1.25,1.25
5,31115,1,1,1,1
5,31121,3,3,1.5,1.75
5,31127,7,1,1,1
5,31129,1,,,
5,31131,2,104,52,52
5,31133,4,50.88,25.44,50
5,31135,1,1.5,1.5,1.5
5,31137,2,110,55,57
5,31141,4,,,
5,31143,3,1.76,0.88,0.88
5,31145,3,1.5,1.5,1.5
5,31147,13,53,26.5,52
5,31153,6,171.25,34.25,65
5,31155,9,131,18.71428571,73
5,31159,4,92.75,46.375,91
5,31167,1,,,
5,31171,2,2.75,1.375,1.75
5,31173,1,,,
5,31175,1,56,56,56
5,31177,1,1,1,1
5,31181,5,3.88,0.97,1
5,31185,2,0.88,0.88,0.88
5,38003,9,118.25,19.70833333,61
5,38017,1,,,
5,38027,3,65.5,21.83333333,63
5,38029,5,5.75,1.15,1.5
5,38035,4,114.75,28.6875,56
5,38039,2,112,56,56
5,38043,1,1.5,1.5,1.5
5,38047,1,1.5,1.5,1.5
