FIPS,Sum of Indemnity Amount
16065,1911448
16067,475218
16069,1386098.9
16071,1775709
16073,1102128
16075,167376
16077,3906933
16081,290598
16083,518850
16085,104138
16087,866249
16999,52182
17001,12443380
17003,7560815
17005,6128590
17007,6444761
17009,2545604
17011,29210155
17013,3140777
17015,2413154
17017,2189574
17019,10767690
17021,2323828
17023,4183296
17025,6662592
17027,5177716
17029,1797532
17031,1143548
17033,3771124
17035,2919016.8
17037,20539744
17039,471313
17041,445415
17043,195052
17045,1323763
17047,4358650.54
17049,2472479.2
17051,7212123
17053,6792787
17055,4684496.6
17057,8560380
17059,9542634
17061,6253133
17063,11191114
17065,9520453.8
17067,7811718
17069,415300
17071,5175258
17073,23606263
17075,28881034.6
17077,7446895
17079,3865248
17081,7437300.8
17083,3631155
17085,3898009.12
17087,1782097
17089,10597381
17091,19674148
17093,9299642
17095,4037940
17097,1740251
17099,22261644
17101,3803774.5
17103,15495656
17105,17318303.8
17107,1514050
17109,4838589
17111,9593588
17113,3654713
17115,1146049
17117,2502421.34
17119,1941343
17121,9901472.48
17123,3888030
17125,2971649
17127,2652576
17129,903187
17131,7084938
17133,7783289.75
17135,3037193
17137,2239343
17139,1041415
17141,11129858
17143,4603161
17145,4345040.85
17147,409516
17149,9070175
17151,897742
17153,2979414
17155,2083449
17157,6679344
17159,3456025.68
17161,4766180
17163,3150599
17165,2885268
17167,3551791
17169,6226207
17171,2774158
17173,4981832
17175,2734625.8
17177,4278338
17179,3347716
17181,5333935
17183,15253854
17185,3819974.84
17187,2060522
17189,4839837.07
17191,24444787.8
17193,15337717.9
17195,19552247
17197,16780205
17199,3551526.4
17201,6140633
17203,2702566
17999,28418
18001,8157141.8
18003,8868472.2
18005,6342157
18007,2418357.35
18009,3436575
18011,11496007.5
18013,249341
18015,2200066
18017,2212797
18019,2749970
18021,3792412
18023,9295928
18025,982355
18027,10083054
18029,1859633
18031,4917596.5
18033,5453351
18035,6798373.5
18037,5751039
18039,1040692
18041,787987
18043,307595
18045,2415992
18047,4836104
18049,2157709
18051,14085473
18053,3593765
18055,10025539.9
18057,6587787
18059,8619189
18061,2015875
18063,4880411
18065,8074740.4
18067,1405328
18069,6797318
18071,13868663.5
18073,5365877
18075,11585221.8
18077,5190942
18079,10953050
18081,3225140
18083,11369914
18085,2815124
18087,385751
18089,7788854
18091,3072681
18093,3170839
18095,11140016
18097,928232
18099,3892586
18101,4424254
18103,3665094
18105,782106
18107,3814226
18109,1949232
18111,4855967
18113,1059121
18115,276737
18117,2492878
18119,2992764
18121,2265931
18123,738383
18125,6228965
18127,4235496.2
18129,6108865
18131,3608866.5
18133,1938949
18135,10200282.5
18137,11252996
18139,2711018
18141,5105962
18143,4442001
18145,3089578
18147,2520700
18149,2606744
18151,4390781
18153,8255983
18155,1491648
18157,2921024.75
18159,2943323
18161,630281
18163,1533888
18165,1896072
18167,3915917
18169,5018404
18171,1793055
18173,4693414.78
18175,4051041
18177,3584932
18179,9802908
18181,4883790
18183,2279546.08
19001,1725057
19003,1502849
19005,868347
19007,1854660
19009,370283
19011,1839826
19013,1620564
19015,1061635
19017,1018849
19019,1335282
19021,2700632
19023,1775836
19025,1405342
19027,410212
19029,572650
19031,3089099
19033,2321990
19035,986814
19037,2238387
19039,2171820
19041,10499133
19043,1468611
19045,7719646
19047,258103.5
19049,702994
19051,2209094
19053,3063163
19055,972282
19057,4390334
19059,3983491
19061,2036179
19063,4086194
19065,1237390
19067,2499740
19069,3689255
19071,15411404.13
19073,840740
19075,741363
19077,784057
19079,2055320
19081,1832079
19083,2033255
19085,5771198
19087,2589731
19089,2598652
19091,1311542
19093,295981
19095,6064940
19097,3386790
19099,952503
19101,3442005
19103,4675023
19105,3419389
19107,3592108
19109,4622032
19111,3235636.67
19113,1332387
19115,4427195
19117,2027991
19119,6559567
19121,856061
19123,3279477
19125,1334471
19127,1526661
19129,5831627
19131,2214021
19133,4243160
19135,1596218
19137,518542
19139,4428499
19141,2391768
19143,6018544
19145,1099972
19147,6339577
19149,2636165
19151,4147803
19153,1057639
